Date,Open,High,Low,Close,Adj Close,Volume
2000-11-17,20.562500,21.375000,20.062500,20.562500,20.562500,4296900
2000-11-20,20.250000,21.187500,19.812500,20.375000,20.375000,5611800
2000-11-21,20.562500,21.187500,19.812500,19.937500,19.937500,4077300
2000-11-22,19.812500,20.812500,19.437500,19.625000,19.625000,5312700
2000-11-24,20.375000,20.937500,20.187500,20.812500,20.812500,2168300
2000-11-27,21.437500,21.437500,18.562500,19.000000,19.000000,9048500
2000-11-28,18.750000,19.250000,17.437500,17.750000,17.750000,6184000
2000-11-29,17.687500,18.062500,16.500000,17.062500,17.062500,8465800
2000-11-30,16.000000,16.000000,14.687500,15.250000,15.250000,12231900
2000-12-01,15.812500,16.625000,15.250000,15.437500,15.437500,8112500
2000-12-04,15.875000,16.000000,15.125000,15.375000,15.375000,6153000
2000-12-05,15.500000,16.500000,15.500000,15.750000,15.750000,8882900
2000-12-06,16.187500,16.250000,14.312500,14.437500,14.437500,9786600
2000-12-07,14.562500,14.937500,14.250000,14.500000,14.500000,5020800
2000-12-08,15.250000,16.250000,15.000000,16.062500,16.062500,8058400
2000-12-11,16.250000,17.437500,16.062500,17.312500,17.312500,7621600
2000-12-12,17.500000,18.187500,17.125000,17.250000,17.250000,10251800
2000-12-13,17.875000,17.875000,16.562500,16.750000,16.750000,7575900
2000-12-14,16.750000,17.312500,16.500000,16.500000,16.500000,3210800
2000-12-15,16.312500,16.562500,15.500000,16.187500,16.187500,3945700
2000-12-18,16.000000,16.125000,15.000000,15.250000,15.250000,4327800
2000-12-19,15.437500,16.625000,15.312500,15.375000,15.375000,7509500
2000-12-20,15.125000,15.375000,14.250000,14.562500,14.562500,5458700
2000-12-21,14.312500,14.687500,13.562500,13.687500,13.687500,6156000
2000-12-22,14.000000,14.625000,13.937500,14.312500,14.312500,4452100
2000-12-26,14.625000,14.812500,13.875000,14.125000,14.125000,3253000
2000-12-27,14.125000,14.750000,13.875000,14.625000,14.625000,5042200
2000-12-28,14.500000,14.687500,14.062500,14.312500,14.312500,4696400
2000-12-29,14.312500,14.500000,13.812500,13.812500,13.812500,6342700
2001-01-02,14.125000,14.750000,14.125000,14.375000,14.375000,4863600
2001-01-03,14.500000,16.375000,14.437500,16.250000,16.250000,8808100
2001-01-04,16.125000,17.375000,15.750000,16.687500,16.687500,7045000
2001-01-05,17.187500,17.187500,15.687500,16.000000,16.000000,5230600
2001-01-08,15.937500,16.250000,15.437500,16.187500,16.187500,3365700
2001-01-09,16.812500,17.000000,16.250000,16.750000,16.750000,3383600
2001-01-10,16.500000,17.250000,15.937500,17.125000,17.125000,5294200
2001-01-11,16.875000,19.000000,16.625000,18.187500,18.187500,9084700
2001-01-12,18.125000,18.750000,17.375000,17.812500,17.812500,5732400
2001-01-16,17.812500,17.812500,16.875000,17.125000,17.125000,4207500
2001-01-17,19.062500,19.062500,17.875000,18.500000,18.500000,11075800
2001-01-18,18.562500,22.687500,18.000000,22.687500,22.687500,21222500
2001-01-19,22.750000,22.937500,21.000000,22.000000,22.000000,12341400
2001-01-22,21.625000,22.375000,20.250000,21.437500,21.437500,6225800
2001-01-23,21.187500,22.937500,20.500000,22.312500,22.312500,8281200
2001-01-24,22.500000,22.750000,21.812500,22.687500,22.687500,5469600
2001-01-25,22.500000,22.625000,21.500000,21.937500,21.937500,6068300
2001-01-26,21.375000,21.875000,20.687500,21.375000,21.375000,6544700
2001-01-29,21.700001,23.150000,21.629999,23.000000,23.000000,6617400
2001-01-30,23.139999,24.750000,22.750000,24.020000,24.020000,9093800
2001-01-31,23.650000,25.100000,23.650000,24.600000,24.600000,9727500
2001-02-01,25.299999,26.490000,24.959999,25.709999,25.709999,12460700
2001-02-02,25.650000,26.100000,23.889999,23.889999,23.889999,8059600
2001-02-05,23.639999,24.040001,22.959999,24.000000,24.000000,6054000
2001-02-06,23.750000,24.700001,23.750000,24.049999,24.049999,4137500
2001-02-07,23.700001,24.209999,23.059999,23.570000,23.570000,3804200
2001-02-08,23.980000,24.750000,23.700001,24.000000,24.000000,6493300
2001-02-09,23.950001,24.799999,23.799999,24.370001,24.370001,7598400
2001-02-12,23.350000,24.719999,23.309999,24.000000,24.000000,4295400
2001-02-13,24.000000,24.580000,23.799999,24.010000,24.010000,3398900
2001-02-14,24.000000,24.950001,23.650000,24.950001,24.950001,6069700
2001-02-15,25.500000,26.750000,25.270000,26.230000,26.230000,9720800
2001-02-16,24.850000,25.000000,24.020000,24.709999,24.709999,5550200
2001-02-20,25.000000,25.010000,22.410000,22.570000,22.570000,7281500
2001-02-21,21.620001,24.600000,21.620001,23.000000,23.000000,7925100
2001-02-22,23.000000,23.549999,20.670000,21.000000,21.000000,10745200
2001-02-23,20.850000,22.100000,20.510000,22.100000,22.100000,9435500
2001-02-26,22.100000,23.330000,21.500000,22.830000,22.830000,6769700
2001-02-27,22.820000,23.680000,21.980000,21.980000,21.980000,4424200
2001-02-28,22.030001,22.400000,20.670000,21.500000,21.500000,6614800
2001-03-01,20.500000,21.100000,19.650000,20.950001,20.950001,9224900
2001-03-02,19.750000,22.540001,19.700001,21.740000,21.740000,10344300
2001-03-05,22.150000,23.400000,22.150000,23.129999,23.129999,5465000
2001-03-06,24.000000,25.510000,24.000000,24.750000,24.750000,8921200
2001-03-07,24.900000,25.100000,24.100000,25.100000,25.100000,5612600
2001-03-08,25.049999,26.049999,24.600000,26.000000,26.000000,5970500
2001-03-09,24.500000,24.500000,23.070000,23.299999,23.299999,11057500
2001-03-12,22.750000,23.940001,22.200001,22.730000,22.730000,7026500
2001-03-13,23.450001,23.790001,22.150000,23.780001,23.780001,7067100
2001-03-14,22.500000,24.450001,22.260000,23.940001,23.940001,6796800
2001-03-15,24.700001,24.940001,23.250000,23.559999,23.559999,4557300
2001-03-16,23.549999,23.990000,23.260000,23.400000,23.400000,5006500
2001-03-19,23.500000,23.750000,22.190001,23.730000,23.730000,7116400
2001-03-20,23.600000,24.350000,22.200001,22.430000,22.430000,5495900
2001-03-21,22.000000,24.000000,21.950001,23.290001,23.290001,5838900
2001-03-22,24.049999,26.500000,24.040001,26.450001,26.450001,11878900
2001-03-23,27.080000,29.709999,26.500000,29.440001,29.440001,20067200
2001-03-26,29.500000,29.549999,28.180000,28.740000,28.740000,9714700
2001-03-27,28.270000,30.150000,28.260000,29.690001,29.690001,9646600
2001-03-28,29.000000,29.510000,27.150000,27.700001,27.700001,9205600
2001-03-29,27.250000,28.600000,26.990000,28.299999,28.299999,8584000
2001-03-30,28.150000,28.150000,26.500000,26.540001,26.540001,9636100
2001-04-02,26.700001,27.860001,24.760000,25.500000,25.500000,9392500
2001-04-03,24.750000,25.100000,22.980000,23.680000,23.680000,12680300
2001-04-04,23.500000,23.510000,20.190001,20.740000,20.740000,17071500
2001-04-05,22.000000,23.750000,21.500000,23.020000,23.020000,11699300
2001-04-06,22.799999,22.799999,20.049999,20.049999,20.049999,12273800
2001-04-09,20.299999,20.889999,18.730000,19.700001,19.700001,11222300
2001-04-10,20.000000,21.770000,19.600000,21.320000,21.320000,9575000
2001-04-11,26.000000,26.000000,23.200001,23.510000,23.510000,15052500
2001-04-12,23.299999,25.000000,22.480000,24.850000,24.850000,8106300
2001-04-16,23.850000,23.889999,22.780001,23.500000,23.500000,6707600
2001-04-17,23.000000,24.040001,22.209999,23.000000,23.000000,7502200
2001-04-18,25.000000,29.150000,24.850000,27.850000,27.850000,19834100
2001-04-19,28.860001,29.889999,28.600000,29.010000,29.010000,21630600
2001-04-20,29.000000,29.320000,27.850000,29.000000,29.000000,11627400
2001-04-23,27.799999,27.990000,26.799999,27.600000,27.600000,8964700
2001-04-24,27.450001,28.549999,26.600000,27.350000,27.350000,8969300
2001-04-25,27.350000,27.790001,26.420000,26.900000,26.900000,6938400
2001-04-26,27.850000,28.969999,27.500000,27.510000,27.510000,9561400
2001-04-27,28.500000,30.000000,28.200001,30.000000,30.000000,11065500
2001-04-30,30.750000,32.150002,30.500000,31.000000,31.000000,10096100
2001-05-01,30.500000,31.950001,29.500000,31.860001,31.860001,6891600
2001-05-02,32.000000,33.250000,31.990000,32.950001,32.950001,12964100
2001-05-03,31.900000,32.700001,31.250000,32.610001,32.610001,6960500
2001-05-04,31.150000,31.709999,30.020000,30.990000,30.990000,11783600
2001-05-07,31.000000,31.200001,30.000000,30.010000,30.010000,6249700
2001-05-08,30.400000,30.650000,29.500000,29.750000,29.750000,7601400
